iter	Passed	Remaining
0	25	8996
1	45	7973
2	64	7441
3	76	6583
4	85	5933
5	95	5489
6	104	5128
7	112	4816
8	119	4531
9	127	4347
10	134	4155
11	142	4014
12	150	3906
13	158	3792
14	167	3735
15	177	3711
16	187	3680
17	198	3661
18	207	3622
19	216	3568
20	223	3507
21	231	3452
22	239	3408
23	247	3359
24	255	3315
25	262	3275
26	270	3238
27	278	3198
28	285	3163
29	294	3140
30	302	3108
31	309	3080
32	317	3051
33	325	3021
34	333	2997
35	340	2971
36	348	2947
37	356	2923
38	363	2902
39	372	2883
40	379	2863
41	387	2843
42	395	2825
43	403	2807
44	411	2788
45	419	2773
46	427	2755
47	434	2735
48	442	2717
49	449	2699
50	457	2682
51	464	2664
52	472	2646
53	479	2630
54	487	2616
55	495	2600
56	502	2585
57	511	2573
58	519	2563
59	527	2549
60	535	2536
61	543	2523
62	550	2509
63	558	2494
64	566	2481
65	573	2469
66	581	2456
67	589	2443
68	596	2429
69	604	2418
70	611	2404
71	619	2391
72	626	2378
73	634	2366
74	642	2354
75	649	2341
76	656	2328
77	664	2316
78	672	2305
79	679	2294
80	687	2283
81	695	2271
82	702	2260
83	710	2248
84	717	2238
85	725	2226
86	732	2215
87	740	2204
88	748	2193
89	755	2182
90	762	2170
91	770	2159
92	777	2149
93	784	2137
94	792	2127
95	799	2116
96	807	2105
97	814	2094
98	822	2084
99	829	2074
100	837	2064
101	845	2054
102	852	2045
103	860	2034
104	867	2024
105	874	2013
106	881	2003
107	889	1992
108	897	1983
109	904	1973
110	911	1963
111	919	1954
112	927	1944
113	935	1935
114	942	1925
115	950	1916
116	957	1907
117	965	1897
118	972	1888
119	980	1879
120	988	1870
121	995	1861
122	1003	1851
123	1010	1842
124	1018	1832
125	1025	1822
126	1033	1814
127	1041	1806
128	1049	1798
129	1057	1789
130	1065	1781
131	1073	1773
132	1082	1766
133	1090	1758
134	1099	1751
135	1107	1743
136	1116	1735
137	1124	1727
138	1132	1718
139	1139	1709
140	1147	1700
141	1155	1693
142	1164	1685
143	1173	1678
144	1182	1671
145	1191	1664
146	1199	1656
147	1207	1647
148	1214	1638
149	1222	1629
150	1230	1621
151	1238	1612
152	1245	1604
153	1253	1594
154	1260	1585
155	1268	1576
156	1275	1568
157	1282	1558
158	1290	1549
159	1297	1540
160	1304	1531
161	1312	1523
162	1319	1513
163	1327	1505
164	1334	1496
165	1342	1488
166	1349	1479
167	1357	1470
168	1364	1461
169	1372	1453
170	1379	1444
171	1387	1435
172	1395	1427
173	1402	1418
174	1409	1409
175	1417	1401
176	1425	1392
177	1432	1384
178	1440	1375
179	1447	1367
180	1455	1358
181	1462	1350
182	1470	1341
183	1477	1333
184	1485	1324
185	1493	1316
186	1500	1308
187	1508	1300
188	1516	1291
189	1524	1283
190	1531	1275
191	1539	1266
192	1546	1258
193	1554	1249
194	1561	1241
195	1569	1232
196	1576	1224
197	1584	1216
198	1591	1207
199	1598	1198
200	1606	1190
201	1613	1182
202	1621	1174
203	1628	1165
204	1636	1157
205	1643	1149
206	1651	1140
207	1659	1132
208	1667	1124
209	1674	1116
210	1682	1108
211	1690	1100
212	1697	1091
213	1705	1083
214	1712	1075
215	1720	1067
216	1727	1058
217	1735	1050
218	1742	1042
219	1750	1034
220	1757	1025
221	1764	1017
222	1772	1009
223	1779	1001
224	1787	992
225	1794	984
226	1802	976
227	1810	968
228	1818	960
229	1826	952
230	1834	944
231	1842	937
232	1850	929
233	1857	920
234	1865	912
235	1872	904
236	1879	896
237	1887	888
238	1895	880
239	1903	872
240	1911	864
241	1918	856
242	1926	848
243	1934	840
244	1941	832
245	1949	824
246	1957	816
247	1965	808
248	1973	800
249	1981	792
250	1988	784
251	1996	776
252	2003	768
253	2011	760
254	2018	752
255	2025	743
256	2034	736
257	2042	728
258	2050	720
259	2057	712
260	2066	704
261	2073	696
262	2081	688
263	2089	680
264	2097	672
265	2105	664
266	2113	656
267	2120	648
268	2128	641
269	2137	633
270	2146	625
271	2155	618
272	2163	610
273	2172	602
274	2180	594
275	2188	586
276	2197	579
277	2215	573
278	2224	566
279	2232	558
280	2239	549
281	2246	541
282	2254	533
283	2261	525
284	2268	517
285	2276	509
286	2283	501
287	2290	493
288	2297	484
289	2305	476
290	2312	468
291	2319	460
292	2326	452
293	2334	444
294	2341	436
295	2348	428
296	2356	420
297	2363	412
298	2371	404
299	2379	396
300	2387	388
301	2395	380
302	2402	372
303	2410	364
304	2418	356
305	2425	348
306	2432	340
307	2440	332
308	2447	324
309	2454	316
310	2462	308
311	2470	300
312	2478	292
313	2485	285
314	2493	277
315	2501	269
316	2509	261
317	2517	253
318	2524	245
319	2532	237
320	2540	229
321	2547	221
322	2555	213
323	2563	205
324	2571	197
325	2578	189
326	2586	181
327	2594	174
328	2603	166
329	2611	158
330	2619	150
331	2627	142
332	2634	134
333	2641	126
334	2649	118
335	2656	110
336	2664	102
337	2671	94
338	2679	86
339	2686	79
340	2694	71
341	2701	63
342	2709	55
343	2716	47
344	2723	39
345	2731	31
346	2738	23
347	2745	15
348	2753	7
349	2760	0
